127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000381
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000407
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000389
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000664
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000428
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.014218
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.010953
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/_2.9.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001720
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/images/questions.png, HTTP/1.1, 200, 0.001288
127.0.0.1, 2014-03-23 19:41:04, GET, /admin/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005568
127.0.0.1, 2014-03-23 19:41:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000399
127.0.0.1, 2014-03-23 19:41:04, GET, /favicon.ico, HTTP/1.1, 400, 0.000502
127.0.0.1, 2014-03-23 19:41:09, POST, /admin/default/index, HTTP/1.1, 303, 0.046454
127.0.0.1, 2014-03-23 19:41:09, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.071835
127.0.0.1, 2014-03-23 19:41:22, GET, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.056456
127.0.0.1, 2014-03-23 19:41:37, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.057930
127.0.0.1, 2014-03-23 19:41:52, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.078409
127.0.0.1, 2014-03-23 19:41:57, POST, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.045804
127.0.0.1, 2014-03-23 19:42:01, GET, /py2manager/appadmin/insert/db/company, HTTP/1.1, 200, 0.053726
127.0.0.1, 2014-03-23 19:42:03, GET, /py2manager/appadmin/index, HTTP/1.1, 200, 0.042808
127.0.0.1, 2014-03-23 19:42:05, GET, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.048741
127.0.0.1, 2014-03-23 19:42:34, POST, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.111177
127.0.0.1, 2014-03-23 19:42:49, POST, /py2manager/appadmin/insert/db/project, HTTP/1.1, 200, 0.093533
